form	lemma	POS	morph
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
སྨིན་གྲོལ་	སྨིན་གྲོལ་	NOUN
གླིང་	གླིང་	NOUN
གི་	གི་	PART
སྲོལ་	སྲོལ་	NOUN
ལྟ་	ལྟ་	OTHER
བརྒྱ་	བརྒྱ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འདོད་དོན་	འདོད་དོན་	NOUN
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
ཀྱི་	གི་	PART
བཅའ་	བཅའ་	VERB
གཤོམ་	གཤོམ་	NO_POS
དང་	དང་	NO_POS
འདོན་	འདོན་	VERB
འགྲིག་	འགྲིག་	VERB
ས་	གིས་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
བཅའ་	བཅའ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
བཅའ་	བཅའ་	VERB
གཤོམ་	གཤོམ་	NO_POS
རྣམས་	རྣམས་	DET
གཞུང་	གཞུང་	NOUN
གསལ་	གསལ་	VERB
ལྟ་	ལྟ་	OTHER
ལ་	ལ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ད་	ད་	NOUN
དམར་	དམར་	VERB
རམ་	གམ་	PART
སེར་པོ་	སེར་པོ་	ADJ
འི་	གི་	PART
ན་བཟའ་	ན་བཟའ་	NOUN
ཅན་	ཅན་	PART
བཞུགས་	བཞུགས་	VERB
སུ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འི་	གི་	PART
མདུན་	མདུན་	NOUN
དུ་	ལ་	PART
གཡོན་	གཡོན་	NOUN
ན་	ལ་	PART
བརྩམ་	བརྩམ་	VERB
སྟེ་	སྟེ་	PART
ཆུ་	ཆུ་	NOUN
གཉིས་	གཉིས་	NUM
ཉེར་སྤྱོད་	ཉེར་སྤྱོད་	OTHER
བཅའ་	བཅའ་	VERB
ཕྲེང་	ཕྲེང་	OTHER
ཚ་	ཚ་	VERB
དུ་	ལ་	PART
བཤམ་	བཤམ་	NO_POS
།		PUNCT
ལྟེ་བ་	ལྟེ་བ་	NOUN
ར་	ལ་	PART
ཁྲི་	ཁྲི་	NUM
སྟེགས་	སྟེགས་	NOUN
ཁ་	ཁ་	PRON
ར་	ལ་	PART
ཡོན་བདག་	ཡོན་བདག་	NOUN
གི་	གི་	PART
འདྲ་	འདྲ་	VERB
གླུད་	གླུད་	NO_POS
ཀྱི་	གི་	PART
ལྟེ་བ་	ལྟེ་བ་	NOUN
ར་	ལ་	PART
ཨེ་	ཨེ་	PART
རྃ་		NON_WORD
ཡྃ་		NON_WORD
ཁྃ་		NON_WORD
བཞི་པོ་	བཞི་པོ་	NUM
དབུ་ཅན་	དབུ་ཅན་	NO_POS
བྲིས་པ་	བྲིས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གནས་	གནས་	NOUN
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
ཞོ་ཤ་	ཞོ་ཤ་	NOUN
།		PUNCT
དུང་	དུང་	NOUN
།		PUNCT
བསེ་	བསེ་	OTHER
།		PUNCT
མཚལ་	མཚལ་	NO_POS
།		PUNCT
ཟེར་མོ་	ཟེར་མོ་	NO_POS
།		PUNCT
མུ་ཏིག་	མུ་ཏིག་	NOUN
།		PUNCT
ལུང་ཐང་	ལུང་ཐང་	NO_POS
།		PUNCT
མགྲོན་བུ་	མགྲོན་བུ་	NO_POS
།		PUNCT
ད་	ད་	NOUN
དམར་	དམར་	VERB
།		PUNCT
དབང་ལག་	དབང་ལག་	NO_POS
།		PUNCT
ལྕགས་ཟངས་	ལྕགས་ཟངས་	NO_POS
རྣམས་	རྣམས་	DET
བཅུག་	བཅུག་	VERB
།		PUNCT
ཤིང་བྱང་	ཤིང་བྱང་	NO_POS
རྒྱབ་	རྒྱབ་	NOUN
འདོད་གསོལ་	འདོད་གསོལ་	OTHER
སྐབས་	སྐབས་	NOUN
གང་	གང་	NO_POS
དགོས་	དགོས་	VERB
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
བསྒྱུར་	བསྒྱུར་	VERB
།		PUNCT
བདུད་	བདུད་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
རྒྱབ་	རྒྱབ་	NOUN
ཏུ་	ལ་	PART
རང་	རང་	PRON
མདོག་	མདོག་	NOUN
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
མདའ་དར་	མདའ་དར་	NOUN
བཞི་	བཞི་	NUM
འཛུགས་	འཛུགས་	NO_POS
།		PUNCT
ཤེ་		
སྙིང་	སྙིང་	NOUN
གཟུངས་	གཟུངས་	NOUN
དང་	དང་	NO_POS
རྟེན་	རྟེན་	NOUN
སྙིང་	སྙིང་	NOUN
གི་	གི་	PART
གཟུངས་	གཟུངས་	NOUN
ཞུགས་	ཞུགས་	VERB
ཅན་	ཅན་	PART
སཱཙྪ་		NON_WORD
བཅུ་	བཅུ་	NUM
དྲི་བཟང་	དྲི་བཟང་	NOUN
གིས་	གིས་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
འི་	གི་	PART
རབ་གནས་	རབ་གནས་	NOUN
འཐོར་ནས་	འཐོར་ནས་	NO_POS
ཉེ་ཆར་	ཉེ་ཆར་	NO_POS
བཀོད་	བཀོད་	VERB
།		PUNCT
གཞན་	གཞན་	DET
གཞུང་	གཞུང་	NOUN
བསྟན་	བསྟན་	VERB
ལྟ་	ལྟ་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
སྣོན་འཕྲི་	སྣོན་འཕྲི་	NO_POS
མེད་	མེད་	VERB
།		PUNCT
དངོས་གཞི་	དངོས་གཞི་	NOUN
འི་	གི་	PART
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
སྨྲ་	སྨྲ་	VERB
བསམ་བརྗོད་	བསམ་བརྗོད་	NO_POS
མེད་	མེད་	VERB
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
།		PUNCT
འདི་སྐད་	འདི་སྐད་	NO_POS
བདག་	བདག་	PRON
གིས་	གིས་	PART
ཐོས་པ་	ཐོས་པ་	VERB
འི་	གི་	PART
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
མངོན་པ་	མངོན་པ་	OTHER
བསྟོད་	བསྟོད་	VERB
དོ་	གོ་	PART
།		PUNCT
བ་	བ་	NOUN
ཚ་	ཚ་	VERB
གཅིག་	གཅིག་	NUM
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
།		PUNCT
ཆོས་སྤྱོད་	ཆོས་སྤྱོད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
ལྟ་	ལྟ་	OTHER
སྐྱབས་སེམས་	སྐྱབས་སེམས་	NO_POS
དང་	དང་	NO_POS
ཚད་	ཚད་	NOUN
མེད་	མེད་	VERB
བཞི་	བཞི་	NUM
ཡན་	ཡན་	ADV
གྲུབ་	གྲུབ་	VERB
ན་	ནས་	PART
།		PUNCT
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
བྷཱ་		NON_WORD
ཝ་	ཝ་	OTHER
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
།		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
སོགས་	སོགས་	DET
ལྷུག་	ལྷུག་	NO_POS
།		PUNCT
ས་	ས་	ADP
མ་	མ་	PART
ཡ་	ཡ་	NOUN
ཛ་	ཛ་	OTHER
ཛཿ་		NON_WORD
ཞེ་	ཅེས་	PART
རྡོར་དྲིལ་	རྡོར་དྲིལ་	NO_POS
བཅའ་	བཅའ་	VERB
བསྡུ་	བསྡུ་	VERB
རྒྱ་	རྒྱ་	NOUN
།		PUNCT
ཐལ་སྦྱར་	ཐལ་སྦྱར་	NO_POS
བཅའ་	བཅའ་	VERB
།		PUNCT
མགོན་པོ་	མགོན་པོ་	NOUN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
སོགས་	སོགས་	DET
ཡོ་	ཡོ་	OTHER
གདངས་	གདངས་	NOUN
ལྷུག་	ལྷུག་	NO_POS
གཉིས་	གཉིས་	NUM
གང་	གང་	NO_POS
བདེ་	བདེ་	VERB
།		PUNCT
པད་	པད་	NO_POS
མེད་	མེད་	VERB
རང་	རང་	PRON
རྒྱ་	རྒྱ་	NOUN
བཅའ་	བཅའ་	VERB
།		PUNCT
ཨརྒྷཾ་		NON_WORD
སོགས་	སོགས་	DET
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
།		PUNCT
རང་	རང་	PRON
རྒྱ་	རྒྱ་	NOUN
བཅའ་	བཅའ་	VERB
ཛཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
བསྐོར་བ་	བསྐོར་བ་	VERB
ར་	ལ་	PART
