form	lemma	POS	morph
གང་ཞིག་	གང་ཞིག་	NO_POS
མཚན་མོ་	མཚན་མོ་	ADV
ར་	ལ་	PART
རྒྱུ་བ་	རྒྱུ་བ་	VERB
ཡི་	གི་	PART
། །		PUNCT
འབྱུང་པོ་	འབྱུང་པོ་	NOUN
རྣམས་	རྣམས་	DET
དང་	དང་	NO_POS
ཤ་ཟ་	ཤ་ཟ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
སྲིན་པོ་	སྲིན་པོ་	NOUN
ཤ་རྗེན་ཟ་བ་	ཤ་རྗེན་ཟ་བ་	NO_POS
དང་	དང་	NO_POS
། །		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
སྣ་ཚོགས་པ་	སྣ་ཚོགས་པ་	DET
། །		PUNCT
ལྗོན་ཤིང་	ལྗོན་ཤིང་	NOUN
གེལ་པ་	གེལ་པ་	NO_POS
སོགས་	སོགས་	DET
གནས་	གནས་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
དེ་	སྟེ་	PART
ལ་	ལ་	PART
གཏོར་མ་	གཏོར་མ་	NOUN
ནི་	ནི་	NO_POS
། །		PUNCT
བཟའ་བ་	བཟའ་བ་	VERB
ཤ་ཆང་	ཤ་ཆང་	NOUN
ལ་ཕུག་	ལ་ཕུག་	NO_POS
དང་	དང་	NO_POS
། །		PUNCT
འབྲས་	འབྲས་	NOUN
ཆེན་	ཆེན་	NO_POS
འབྲས་བུ་	འབྲས་བུ་	NOUN
མང་པོ་	མང་པོ་	ADJ
ཡི་	གི་	PART
། །		PUNCT
མཆོད་སྦྱིན་	མཆོད་སྦྱིན་	NOUN
འདི་	འདི་	DET
ཡི་	གིས་	PART
མགུ་	མགུ་	VERB
བྱོས་	བྱོས་	VERB
ལ་	ལ་	PART
། །		PUNCT
གནོད་པ་	གནོད་པ་	VERB
འི་	གི་	PART
བསམ་པ་	བསམ་པ་	VERB
ཞི་བ་	ཞི་བ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
བདག་ཅག་	བདག་ཅག་	PRON
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ཕན་པ་	ཕན་པ་	VERB
འི་	གི་	PART
ཡིད་	ཡིད་	NOUN
། །		PUNCT
དེ་རིང་	དེ་རིང་	ADV
ཕྱིན་ཆད་	ཕྱིན་ཆད་	ADV
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
ར་	ལ་	PART
གྱིས་	གིས་	PART
། །		PUNCT
རྒྱན་	རྒྱན་	NOUN
གྱིས་	གིས་	PART
བརྒྱན་པ་	བརྒྱན་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཀྱང་	ཀྱང་	PART
ཆོས་སྤྱོད་	ཆོས་སྤྱོད་	NOUN
ཅིང་	ཅིང་	PART
། །		PUNCT
དུལ་	དུལ་	VERB
ཞིང་	ཅིང་	PART
ཡང་དག་	ཡང་དག་	ADJ
སྡོམ་	སྡོམ་	NOUN
ལ་	ལ་	PART
ཚངས་པ་	ཚངས་པ་	PROPN
ར་	ལ་	PART
སྤྱོད་	སྤྱོད་	VERB
། །		PUNCT
འབྱུང་པོ་	འབྱུང་པོ་	NOUN
ཀུན་	ཀུན་	DET
ལ་	ལ་	PART
ཆད་པ་	ཆད་པ་	VERB
སྤངས་པ་	སྤངས་པ་	VERB
སྟེ་	སྟེ་	PART
། །		PUNCT
དགེ་སློང་	དགེ་སློང་	NOUN
དགེ་སྦྱོང་	དགེ་སྦྱོང་	NOUN
དེ་	སྟེ་	PART
ཡིན་	ཡིན་	NO_POS
བྲམ་ཟེ་	བྲམ་ཟེ་	NOUN
འང་	ཀྱང་	PART
དེ་	སྟེ་	PART
། །		PUNCT
